"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","happy","inprdsc","health","hlthhmp","rlgdgr","brncntr","gndr","yrbrn","agea","rshpsts","domicil","edulvlb","edlvhpl","edlvdse","eduyrs","uempla","uempli","rtrd","hswrk","crpdwk","pdjobyr","emplrel","emplno","wrkctra","estsz","njbspv","wkdcorga","wkhtot","nacer2","tporgwk","uemp3m","hincsrca","hinctnta","emprelp","atncrse","stfmjob","trdawrk","jbprtfp","pfmfdjba","dcsfwrka","prob","stratum","psu"
"ESS10SCe03_1",10,"3.1","02.11.2023",10003,"DE",1.0046023,1.0262389,0.82151556,0.8430712,8,2,3,2,8,1,1,1965,56,1,4,322,,,13,0,0,0,0,6,6666,1,66666,1,4,10,7,38,26,4,2,1,9,1,2,8,4,4,4,2,0.00033510322,367,5981
"ESS10SCe03_1",10,"3.1","02.11.2023",10004,"DE",1.0046023,0.80880386,0.82151556,0.6644449,7,2,4,2,10,1,9,1952,69,66,2,322,,,12,0,0,1,0,9,9999,1,66666,3,5,66666,6,40,666,1,1,4,3,6,2,66,6,66,6,6,0.00033510322,380,5996
"ESS10SCe03_1",10,"3.1","02.11.2023",10015,"DE",1.0046023,0.5622806,0.82151556,0.46192226,8,2,2,3,4,1,1,1952,69,1,3,610,,,15,0,0,1,0,2,2014,1,66666,1,2,3,8,40,91,1,2,4,4,6,1,66,6,66,6,6,0.00033510322,361,5968
"ESS10SCe03_1",10,"3.1","02.11.2023",10026,"DE",1.0046023,0.62700176,0.82151556,0.5150917,9,2,2,3,0,1,1,1969,52,3,3,5555,,,17,0,0,0,0,6,6666,2,50,6,3,50,10,25,70,4,2,2,10,1,1,10,2,3,3,3,0.00033510322,395,6035
"ESS10SCe03_1",10,"3.1","02.11.2023",10030,"DE",1.0046023,0.75504524,0.82151556,0.6202814,9,4,1,3,3,1,1,1980,41,1,3,720,,,19,0,0,0,1,6,6666,1,66666,1,1,66666,9,25,74,4,2,2,9,2,1,6,2,3,2,3,0.00033510322,390,6026
"ESS10SCe03_1",10,"3.1","02.11.2023",10035,"DE",1.0046023,1.6450754,0.82151556,1.3514551,6,2,3,3,4,1,1,1975,46,66,1,423,,,16,0,0,0,0,6,6666,1,66666,1,1,9,8,45,47,4,1,1,2,6,2,7,4,4,3,2,0.00033510322,375,5997
"ESS10SCe03_1",10,"3.1","02.11.2023",10039,"DE",1.0046023,0.5733246,0.82151556,0.4709951,4,3,3,3,4,1,1,1989,32,66,4,720,,,21,0,0,0,0,6,6666,1,66666,2,5,66666,5,55,999,2,2,1,8,6,1,99,9,99,9,9,0.00033510322,431,6109
"ESS10SCe03_1",10,"3.1","02.11.2023",10044,"DE",1.0046023,0.84754056,0.82151556,0.6962677,6,3,2,3,0,1,2,2000,21,66,4,313,,,15,0,0,0,0,2,6666,6,66666,6,6,66666,66,666,666,66,2,1,77,6,1,66,6,66,6,6,0.00033510322,360,5966
"ESS10SCe03_1",10,"3.1","02.11.2023",10046,"DE",1.0046023,2.119684,0.82151556,1.7413534,6,4,3,3,7,1,1,2005,16,66,9,212,,,11,0,0,0,0,9,9999,9,99999,9,4,99999,99,999,999,99,9,99,77,6,2,6,3,99,9,9,0.00033510322,373,5992
"ESS10SCe03_1",10,"3.1","02.11.2023",10050,"DE",1.0046023,0.6464578,0.82151556,0.5310751,8,3,2,3,5,1,2,1963,58,1,4,520,,,18,0,0,0,1,6,6666,1,66666,1,1,2,8,38,47,6,2,2,9,2,1,7,3,3,3,2,0.00033510322,350,5946
"ESS10SCe03_1",10,"3.1","02.11.2023",10054,"DE",1.0046023,1.1380476,0.82151556,0.93492377,9,1,1,3,3,1,1,2001,20,66,4,313,,,14,0,0,0,0,6,6666,1,66666,2,5,66666,9,35,28,4,2,1,10,6,1,8,3,2,2,3,0.00033510322,354,5955
"ESS10SCe03_1",10,"3.1","02.11.2023",10077,"DE",1.0046023,1.4102082,0.82151556,1.158508,3,1,2,3,0,1,2,1985,36,3,4,322,,,13,0,0,0,0,2,2015,1,66666,2,1,6,10,40,81,4,1,5,1,6,2,66,6,66,6,6,0.00033510322,381,6006
"ESS10SCe03_1",10,"3.1","02.11.2023",10095,"DE",1.0046023,0.8796253,0.82151556,0.72262585,6,4,2,3,6,1,2,2002,19,66,3,422,,,2,0,0,0,0,2,2021,1,66666,2,1,66666,8,25,82,4,2,1,6,6,1,66,6,66,6,6,0.00033510322,352,5949
"ESS10SCe03_1",10,"3.1","02.11.2023",10096,"DE",1.0046023,0.8750181,0.82151556,0.71884096,0,4,2,3,6,1,2,1956,65,1,4,322,,,12,0,0,1,0,6,6666,1,66666,1,2,10,10,45,86,2,2,1,5,6,1,8,4,4,4,2,0.00033510322,431,6109
"ESS10SCe03_1",10,"3.1","02.11.2023",10100,"DE",1.0046023,1.096538,0.82151556,0.90082294,7,4,3,3,6,1,1,1999,22,66,2,312,,,15,0,0,0,0,6,6666,1,66666,1,3,66666,0,45,55,4,2,7,77,6,1,6,4,4,3,1,0.00033510322,361,5967
"ESS10SCe03_1",10,"3.1","02.11.2023",10101,"DE",1.0046023,0.61608565,0.82151556,0.50612396,8,3,1,3,8,2,1,1997,24,66,3,720,,,6,0,0,0,0,1,6666,1,66666,2,4,66666,10,10,72,2,1,1,1,6,1,9,2,2,3,3,0.00033510322,413,6073
"ESS10SCe03_1",10,"3.1","02.11.2023",10103,"DE",1.0046023,0.72281724,0.82151556,0.5938056,7,3,2,3,0,1,1,1953,68,1,3,520,,,24,0,0,1,1,2,2019,1,66666,1,3,20,8,43,42,3,1,4,4,6,2,66,6,66,6,6,0.00033510322,387,6020
